stop_name,stop_lat,stop_lon
Seneca St & 6th Ave,47.6087418,-122.331482
23rd Ave & E Jefferson St,47.6058998,-122.302879
23rd Ave S & E Yesler Way,47.6012573,-122.302361
23rd Ave S & S Jackson St,47.5990601,-122.30233
S Dearborn St & 24th Ave S,47.5955009,-122.301636
24th Ave S & S Norman St,47.5927429,-122.301277
34th Ave & E Union St,47.6125069,-122.289421
Spring St & 4th Ave,47.6068764,-122.333206
34th Ave & E Marion St,47.6105156,-122.289474
34th Ave & E Cherry St,47.6080475,-122.289528
E Cherry St & 32nd Ave,47.6080322,-122.292
E Cherry St & Martin L King Jr Way,47.6080704,-122.296158
E Cherry St & 24th Ave,47.6080704,-122.300484
23rd Ave & E Cherry St,47.6077118,-122.302879
E Jefferson St & 23rd Ave,47.6062393,-122.30323
E Jefferson St & 21st Ave,47.6062355,-122.305367
Spring St & 6th Ave,47.6078148,-122.330948
E Jefferson St & 18th Ave,47.6062431,-122.309669
E Jefferson St & 15th Ave,47.6062584,-122.313126
E Jefferson St & 12th Ave,47.6062737,-122.317108
Jefferson St & Broadway,47.6061287,-122.321152
Jefferson St & 9th Ave,47.6049347,-122.324081
James St & 8th Ave,47.6051941,-122.325813
James St & 8th Ave,47.6051636,-122.3255
9th Ave & Jefferson St,47.6048737,-122.324242
E Jefferson St & Broadway,47.6061478,-122.320351
E Jefferson St & 12th Ave,47.6061363,-122.316498
E Jefferson St & 14th Ave,47.6061211,-122.313774
E Jefferson St & 17th Ave,47.6061058,-122.309929
E Jefferson St & 20th Ave,47.6060982,-122.305962
Madison St & 8th Ave,47.6080284,-122.328079
21st Ave & E James St,47.6071281,-122.304924
21st Ave & E James St,47.607399,-122.304924
E Cherry St & 23rd Ave,47.6079407,-122.30233
E Cherry St & 25th Ave,47.6079369,-122.299774
E Cherry St & Martin L King Jr Way,47.6079292,-122.296364
E Cherry St & 31st Ave,47.6079063,-122.292305
E Cherry St & 33rd Ave,47.6078835,-122.290253
34th Ave & E Columbia St,47.6094742,-122.289299
E Spring St & 34th Ave,47.6116943,-122.289574
Interlaken Turnback Loop & 19th Ave E,47.6325111,-122.307358
19th Ave E & E Galer St,47.6319504,-122.307327
19th Ave E & E Highland Dr,47.6304359,-122.307358
19th Ave E & E Prospect St,47.6284943,-122.307388
19th Ave E & E Aloha St,47.6266518,-122.307396
19th Ave E & E Mercer St,47.6241951,-122.307396
19th Ave E & E Harrison St,47.6219025,-122.307426
19th Ave E & E John St,47.6194572,-122.307465
19th Ave & E Denny Way,47.6182632,-122.307495
E Madison St & 13th Ave,47.6131248,-122.316277
E Madison St & Broadway Ct,47.6116257,-122.319855
Madison St & Summit Ave,47.610424,-122.322723
Madison St & Boren Ave,47.6092567,-122.325539
Madison St & 9th Ave,47.6083336,-122.327736
Madison St & Boren Ave,47.6094246,-122.324745
Madison St & Summit Ave,47.6103745,-122.322479
E Madison St & Broadway,47.6112671,-122.320335
E Madison St & 14th Ave,47.6137772,-122.314308
19th Ave & E Madison St,47.6171455,-122.307304
19th Ave E & E Denny Way,47.6186981,-122.307274
19th Ave E & E John St,47.619873,-122.307259
19th Ave E & E Thomas St,47.6206818,-122.307251
19th Ave E & E Harrison St,47.6218605,-122.307236
19th Ave E & E Republican St,47.6234016,-122.307205
19th Ave E & E Roy St,47.6254692,-122.30722
19th Ave E & E Aloha St,47.6270447,-122.30719
19th Ave E & E Prospect St,47.6288605,-122.307167
19th Ave E & E Highland Dr,47.630806,-122.307137
Bellevue Ave E & Bellevue Pl E,47.6264954,-122.326691
Bellevue Ave E & E Republican St,47.623188,-122.326698
Bellevue Ave E & E Thomas St,47.6206512,-122.326691
Bellevue Ave E & E Denny Way,47.6185341,-122.32682
Bellevue Ave & E Olive Way,47.6167336,-122.326889
Bellevue Ave & E Olive St,47.6165085,-122.326691
Summit Ave E & E Olive Way,47.6193848,-122.325195
Yesler Way & 6th Ave S,47.6016388,-122.325058
Summit Ave E & E Mercer St,47.6245689,-122.325226
NW 105th St & 14th Ave NW,47.7051201,-122.373596
NW 103rd St & 13th Ave NW,47.7034302,-122.373131
14th Ave NW & NW 100th St,47.7016335,-122.374199
6th Ave S & Yesler Way,47.6014023,-122.326469
15th Ave NW & NW 100th St,47.7012444,-122.376877
15th Ave NW & NW 96th St,47.6987267,-122.376892
15th Ave NW & NW 92nd St,47.6956444,-122.3769
15th Ave NW & NW 87th St,47.6929321,-122.376755
15th Ave NW & NW 85th St,47.6901588,-122.3769
15th Ave NW & NW 80th St,47.6860619,-122.376892
15th Ave NW & NW 75th St,47.682991,-122.376892
15th Ave NW & NW 70th St,47.6790352,-122.376877
15th Ave NW & NW 65th St,47.6760139,-122.37664
15th Ave NW & NW 60th St,47.6724358,-122.376312
15th Ave NW & NW Market St,47.6689072,-122.376312
15th Ave NW & NW Leary Way,47.6631432,-122.37648
15th Ave W & W Emerson St,47.6534729,-122.376328
W Emerson Pl & 21st Ave W,47.6558075,-122.38372
15th Ave W & W Dravus St,47.6481705,-122.376862
15th Ave W & W Armour St,47.644825,-122.376328
15th Ave W & W Wheeler St,47.6403198,-122.376312
15th Ave W & W Armory Way,47.6374817,-122.376305
Elliott Ave W & W Galer St,47.6319695,-122.375397
Elliott Ave W & W Prospect St,47.6290588,-122.371742
W Mercer St & 3rd Ave W,47.6245346,-122.360718
1st Ave & Wall St,47.6144524,-122.348503
Madison St & 5th Ave,47.606636,-122.331779
1st Ave & Cedar St,47.615818,-122.350494
W Mercer St & 3rd Ave W,47.6246681,-122.361153
Elliott Ave W & W Prospect St,47.628788,-122.371124
Elliott Ave W & W Galer St,47.6322517,-122.375481
15th Ave W & W Newton St,47.6369629,-122.376099
15th Ave W & W Wheeler St,47.6409225,-122.376114
Madison St & 4th Ave,47.6059837,-122.333366
15th Ave W & W Armour St,47.6449356,-122.376122
15th Ave W & W Dravus St,47.6490974,-122.376045
15th Ave W & W Emerson St,47.6539421,-122.376122
W Emerson Pl & 21st Ave W,47.6555977,-122.38353
Madison St & 2nd Ave,47.6053276,-122.334923
15th Ave NW & NW Leary Way,47.6634369,-122.375977
15th Ave NW & NW Market St,47.6684723,-122.376114
15th Ave NW & NW 60th St,47.6722908,-122.376114
15th Ave NW & NW 65th St,47.6767311,-122.376671
15th Ave NW & NW 70th St,47.6797256,-122.376671
15th Ave NW & NW 75th St,47.6834221,-122.376686
15th Ave NW & NW 80th St,47.68713,-122.376701
15th Ave NW & NW 85th St,47.6911774,-122.376709
15th Ave NW & NW 90th St,47.6937332,-122.376701
15th Ave NW & NW 92nd St,47.6962891,-122.376701
15th Ave NW & NW 96th St,47.698822,-122.376686
15th Ave NW & NW 100th St,47.7014008,-122.376671
14th Ave NW & NW 100th St,47.7017822,-122.373993
14th Ave NW & NW 103rd St,47.7033081,-122.373993
S Main St & 3rd Ave S,47.5999641,-122.32991
S Jackson St & 2nd Ave S,47.5991364,-122.331223
S Jackson St & 5th Ave S,47.5991249,-122.328041
S Jackson St & Maynard Ave S,47.5991173,-122.32457
S Jackson St & 8th Ave S,47.5991173,-122.322044
8th Ave S & S King St,47.5985146,-122.322548
Alki Ave SW & 61st Ave SW,47.5790405,-122.410667
61st Ave SW & SW Stevens St,47.5775185,-122.410797
61st Ave SW & SW Admiral Way,47.5760269,-122.410835
SW Admiral Way & 60th Ave SW,47.5758171,-122.409019
SW Admiral Way & 59th Ave SW,47.5760727,-122.407791
SW Admiral Way & 57th Ave SW,47.577034,-122.405182
1st Ave & Yesler Way,47.6022072,-122.334076
S Jackson St & 8th Ave S,47.5992546,-122.322327
SW Admiral Way & SW Stevens St,47.5785828,-122.400917
SW Admiral Way & 51st Ave SW,47.5791893,-122.396996
SW Admiral Way & SW Lander St,47.5795288,-122.393799
SW Admiral Way & 47th Ave SW,47.5811577,-122.391571
SW Admiral Way & 45th Ave SW,47.5811424,-122.388924
SW Admiral Way & California Ave SW,47.5811234,-122.386177
SW Admiral Way & 41st Ave SW,47.5811119,-122.38398
SW Admiral Way & 39th Ave SW,47.5810432,-122.38092
SW Admiral Way & Belvidere Ave SW,47.5810242,-122.378922
S Jackson St & Maynard Ave S,47.5992622,-122.325455
SW Admiral Way & SW Olga St,47.5802498,-122.376793
SW Admiral Way & SW City View St,47.573616,-122.373352
SW Spokane St & 26th Ave SW,47.5712929,-122.365234
SW Spokane St & Chelan Ave SW,47.5712662,-122.362396
1st Ave S & S Spokane St,47.5725441,-122.333992
1st Ave S & S Hanford St,47.5759239,-122.334106
1st Ave S & S Lander St,47.5796852,-122.334106
S Jackson St & 5th Ave S,47.5992661,-122.328384
S Jackson St & Occidental Ave S,47.5992699,-122.332436
1st Ave S & S Lander St,47.5792503,-122.334312
1st Ave S & S Hanford St,47.5757599,-122.334312
James St & 5th Ave,47.603817,-122.329102
SW Spokane St & Chelan Ave SW,47.5717125,-122.363312
SW Spokane St & 26th Ave SW,47.5717125,-122.365318
SW Admiral Way & SW City View St,47.5740433,-122.373474
James St & 4th Ave,47.6030807,-122.330864
SW Admiral Way & SW Olga St,47.5802536,-122.376572
S Jackson St & Occidental Ave Walk,47.5992737,-122.333282
S Jackson St & Occidental Ave S,47.5991402,-122.33326
SW Admiral Way & 38th Ave SW,47.5812531,-122.380577
SW Admiral Way & 41st Ave SW,47.5812454,-122.38369
SW Admiral Way & California Ave SW,47.5812683,-122.386871
SW Admiral Way & 46th Ave SW,47.5812988,-122.390976
SW Admiral Way & SW Waite St,47.5810394,-122.392281
SW Admiral Way & 49th Ave SW,47.5797653,-122.393776
SW Admiral Way & 51st Ave SW,47.5793381,-122.397339
James St & 3rd Ave,47.602932,-122.330826
SW Admiral Way & SW Lander St,47.5789757,-122.400536
SW Admiral Way & 57th Ave SW,47.5771675,-122.405319
SW Admiral Way & 59th Ave SW,47.5761108,-122.408051
SW Admiral Way & 61st Ave SW,47.5759735,-122.41066
63rd Ave SW & SW Admiral Way,47.5762405,-122.413239
63rd Ave SW & Alki Ave SW,47.5782089,-122.413185
James St & 5th Ave,47.6037865,-122.328789
Marion St & 2nd Ave,47.6045341,-122.334076
Marion St & 4th Ave,47.6054611,-122.331863
6th Ave & Marion St,47.6065712,-122.33017
Prefontaine Pl S & Yesler Way,47.6017303,-122.330116
Aurora Village Transit Center - Bay 10,47.7742462,-122.342407
Aurora Village Transit Center - Bay 1,47.7744789,-122.341988
Aurora Village Transit Center - Bay 2,47.7744827,-122.3414
Aurora Village Transit Center - Bay 3,47.7744789,-122.340836
Aurora Village Transit Center - Bay 4,47.7743683,-122.341988
Aurora Village Transit Center - Bay 6,47.7743721,-122.341034
Aurora Village Transit Center - Bay 12,47.77425,-122.341301
Aurora Ave N & N 200th St,47.7748833,-122.345947
N 192nd St & Aurora Ave N,47.7677193,-122.346535
Meridian Ave N & N 203rd St,47.7756462,-122.335388
Meridian Ave N & N 198th St,47.7721138,-122.33532
Meridian Ave N & N 194th St,47.7698402,-122.335266
Meridian Ave N & N 190th St,47.7666931,-122.335197
Westlake Ave & Virginia St,47.6148643,-122.33786
Meridian Ave N & N 188th St,47.7653694,-122.335167
Meridian Ave N & N 185th St,47.7629204,-122.335114
Meridian Ave N & N 183rd St,47.7615395,-122.335091
Meridian Ave N & N 180th St,47.7593842,-122.33503
Meridian Ave N & N 178th St,47.7575531,-122.334991
Meridian Ave N & N 175th St,47.7556343,-122.334938
Meridian Ave N & N 170th St,47.7525482,-122.334885
Meridian Ave N & N 167th St,47.750267,-122.334831
Meridian Ave N & N 165th St,47.7484436,-122.334801
Meridian Ave N & N 163rd St,47.7466393,-122.334747
Meridian Ave N & N 160th St,47.7448349,-122.334694
Westlake Ave & Olive Way,47.6132812,-122.337547
Meridian Ave N & N 158th St,47.7434006,-122.334648
Meridian Ave N & N 155th St,47.7411385,-122.334579
Meridian Ave N & N 150th St,47.7375755,-122.334473
Meridian Ave N & N 148th St,47.736145,-122.33445
NE Ravenna Blvd & Woodlawn Ave NE,47.6784668,-122.324844
NE Ravenna Blvd & NE 68th St,47.6773872,-122.323875
NE Ravenna Blvd & I-5,47.6747398,-122.321426
NE 65th St & NE Ravenna Blvd,47.6757965,-122.321358
8th Ave NE & NE 64th St,47.6752396,-122.319954
5th Ave NE & NE 70th St,47.6798172,-122.322739
5th Ave NE & NE 71st St,47.6799202,-122.32296
Weedin Pl NE & 8th Ave NE,47.6769104,-122.320213
5th Ave NE & NE Maple Leaf Pl,47.68293,-122.322792
Weedin Pl NE & 8th Ave NE,47.6768608,-122.320404
5th Ave NE & NE Maple Leaf Pl,47.6825943,-122.322998
NE 65th St & Roosevelt Way NE,47.675766,-122.317535
Roosevelt Way NE & NE 65th St,47.675457,-122.317467
Roosevelt Way NE & NE Ravenna Blvd,47.6723557,-122.317467
NE Ravenna Blvd & Roosevelt Way NE,47.6718483,-122.316971
Roosevelt Way NE & NE 55th St,47.668396,-122.317467
NE Ravenna Blvd & NE 65th St,47.6757355,-122.321602
S Jackson St & 5th Ave S,47.5992622,-122.327263
NE Ravenna Blvd & NE 68th St,47.6778717,-122.323601
S Jackson St & 5th Ave S,47.5991249,-122.327286
NE Ravenna Blvd & Woodlawn Ave NE,47.6789322,-122.324608
Meridian Ave N & N 145th St,47.7338905,-122.334175
Meridian Ave N & N 148th St,47.7366714,-122.334251
Meridian Ave N & N 150th St,47.7380981,-122.334297
S Jackson St & 8th Ave S,47.5992622,-122.323341
Meridian Ave N & N 155th St,47.7416382,-122.334389
S Jackson St & 8th Ave S,47.5991173,-122.323395
Meridian Ave N & N 156th Pl,47.7431755,-122.334435
Meridian Ave N & N 159th St,47.7447739,-122.334488
Meridian Ave N & N 163rd St,47.7470551,-122.334557
Meridian Ave N & N 165th St,47.7489624,-122.33461
Meridian Ave N & N 167th St,47.7508011,-122.334641
Meridian Ave N & N 170th St,47.7522964,-122.334663
Meridian Ave N & N 175th St,47.7562981,-122.334747
Meridian Ave N & N 178th St,47.7580833,-122.334801
Meridian Ave N & N 180th St,47.7599068,-122.334839
S Jackson St & 12th Ave S,47.5992699,-122.315536
Meridian Ave N & N 183rd St,47.7616997,-122.334885
S Jackson St & 12th Ave S,47.5991287,-122.315529
Meridian Ave N & N 185th St,47.7635231,-122.334923
Meridian Ave N & N 187th St,47.7650604,-122.334969
Meridian Ave N & N 190th St,47.7671661,-122.335007
